timestamps,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close,close_error,absolute_error,percentage_error,open_error,high_error,low_error,horizon,rolling_mae,normalized_error
2022-01-13,1163.5565185546875,1172.671142578125,1157.626220703125,1170.04052734375,754.2143,769.2469,720.31946,730.13074,-439.9097900390625,439.9097900390625,37.59782501190405,-409.34222412109375,-403.42425537109375,-437.3067626953125,257,394.524072265625,0.3759782501190405
2022-01-14,1169.902099609375,1184.8084716796875,1165.6793212890625,1171.748046875,741.0435,735.13055,738.01746,742.361,-429.38702392578125,429.38702392578125,36.64499591622426,-428.85858154296875,-449.67791748046875,-427.661865234375,258,396.53700866699216,0.3664499591622426
2022-01-17,1171.28662109375,1183.7470703125,1170.8250732421875,1177.8629150390625,743.74567,748.914,750.75464,756.8496,-421.0133056640625,421.0133056640625,35.74382895399165,-427.54095458984375,-434.83306884765625,-420.0704345703125,259,397.6691955566406,0.3574382895399165
2022-01-18,1179.0167236328125,1182.5240478515625,1161.0181884765625,1163.810302734375,750.6107,758.28015,759.04285,765.1002,-398.7100830078125,398.7100830078125,34.259026756426046,-428.406005859375,-424.243896484375,-401.975341796875,260,398.1808197021484,0.3425902675642605
2022-01-19,1167.5946044921875,1173.132568359375,1157.903076171875,1163.718017578125,758.315,752.925,761.54785,762.5075,-401.21051025390625,401.21051025390625,34.47660895453751,-409.27960205078125,-420.20758056640625,-396.355224609375,261,396.23534240722654,0.34476608954537513
2022-01-20,1153.772705078125,1158.341552734375,1132.9820556640625,1143.3427734375,753.72906,748.2353,756.8927,749.8254,-393.51739501953125,393.51739501953125,34.41814687264848,-400.04364013671875,-410.10626220703125,-376.08935546875,262,396.4404266357422,0.34418146872648475
2022-01-21,1131.59765625,1154.7879638671875,1131.59765625,1143.52734375,746.74084,746.4433,752.07043,751.74963,-391.7777099609375,391.7777099609375,34.260458405495605,-384.8568115234375,-408.34466552734375,-379.5272216796875,263,397.2573944091797,0.34260458405495603
2022-01-24,1142.2120361328125,1155.9417724609375,1086.8782958984375,1097.4005126953125,743.3727,740.1809,750.5339,745.41437,-351.98614501953125,351.98614501953125,32.07453805129198,-398.83935546875,-415.7608642578125,-336.34442138671875,264,397.1420196533203,0.3207453805129198
2022-01-25,1084.31689453125,1102.361572265625,1063.757080078125,1095.2545166015625,742.4668,734.8922,744.76624,743.5251,-351.72943115234375,351.72943115234375,32.113944824780646,-341.85009765625,-367.4693603515625,-318.9908447265625,265,395.64722900390626,0.32113944824780644
2022-01-27,1078.0635986328125,1087.3397216796875,1066.5491943359375,1079.03271484375,756.9559,737.0561,759.49664,738.2337,-340.79901123046875,340.79901123046875,31.58375149726747,-321.10772705078125,-350.28363037109375,-307.05255126953125,266,394.0061950683594,0.3158375149726747
2022-01-28,1091.4471435546875,1096.4774169921875,1074.5562744140625,1077.994384765625,739.2261,740.93134,747.3802,747.8032,-330.191162109375,330.191162109375,30.630137482688685,-352.2210693359375,-355.54608154296875,-327.17608642578125,267,392.9251953125,0.30630137482688685
2022-01-31,1089.23193359375,1110.55322265625,1087.3858642578125,1101.41552734375,756.8081,768.4351,736.6952,719.56476,-381.85076904296875,381.85076904296875,34.66909259613096,-332.423828125,-342.11810302734375,-350.690673828125,268,393.34263610839844,0.34669092596130957
2022-02-01,1111.2916259765625,1117.1064453125,1083.186279296875,1097.7696533203125,727.6714,725.8389,733.07074,730.1898,-367.579833984375,367.579833984375,33.48424078517689,-383.6202392578125,-391.26751708984375,-350.11553955078125,269,392.0440704345703,0.3348424078517689
2022-02-02,1110.830078125,1110.830078125,1096.1082763671875,1100.0079345703125,714.02844,711.36414,710.3911,714.16943,-385.8385009765625,385.8385009765625,35.075974349883175,-396.8016357421875,-399.4659423828125,-385.7171630859375,270,390.4728210449219,0.35075974349883177
2022-02-03,1103.9075927734375,1108.268798828125,1083.232421875,1085.793701171875,713.3914,714.4109,725.8557,723.9737,-361.82000732421875,361.82000732421875,33.32308954580541,-390.51617431640625,-393.85791015625,-357.376708984375,271,387.3591735839844,0.3332308954580541
2022-02-04,1080.37109375,1083.809326171875,1071.187255859375,1075.89453125,726.6282,718.21765,730.435,728.59686,-347.29766845703125,347.29766845703125,32.279899039316845,-353.742919921875,-365.5916748046875,-340.75225830078125,272,384.9156951904297,0.32279899039316845
2022-02-07,1080.8326416015625,1087.662841796875,1063.757080078125,1069.34130859375,725.5906,741.3866,739.596,751.6307,-317.71063232421875,317.71063232421875,29.71087245680501,-355.2420654296875,-346.2762451171875,-324.16107177734375,273,380.92645874023435,0.2971087245680501
2022-02-08,1075.5946044921875,1089.1396484375,1066.0645751953125,1087.316650390625,754.4052,749.4183,760.00745,753.3442,-333.97247314453125,333.97247314453125,30.715290989478518,-321.18939208984375,-339.72137451171875,-306.05712890625,274,377.5062530517578,0.30715290989478516
2022-02-09,1094.2852783203125,1101.6923828125,1088.2166748046875,1099.98486328125,747.30444,741.2024,753.4439,745.55,-354.43487548828125,354.43487548828125,32.22179571007946,-346.9808349609375,-360.489990234375,-334.77276611328125,275,375.6322509765625,0.32221795710079465
2022-02-10,1105.6151123046875,1105.6151123046875,1091.4932861328125,1098.854248046875,743.3236,732.53485,749.5851,741.69763,-357.1566162109375,357.1566162109375,32.502637801669756,-362.29150390625,-373.08026123046875,-341.908203125,276,372.8946472167969,0.32502637801669754
2022-02-11,1095.2545166015625,1100.4464111328125,1081.8017578125,1096.708251953125,739.368,735.90356,752.92126,749.692,-347.0162353515625,347.0162353515625,31.641617972105358,-355.88653564453125,-364.5428466796875,-328.8804931640625,277,368.2499694824219,0.31641617972105357
2022-02-14,1080.0250244140625,1086.80908203125,1067.4490966796875,1079.240478515625,754.2066,787.5872,734.4574,745.54553,-333.6949462890625,333.6949462890625,30.919424626105823,-325.81842041015625,-299.22186279296875,-332.99169921875,278,363.4653656005859,0.30919424626105824
2022-02-15,1085.078369140625,1118.6295166015625,1077.9251708984375,1115.883544921875,748.81354,741.45026,754.2763,749.659,-366.22454833984375,366.22454833984375,32.81924444593219,-336.26483154296875,-377.17926025390625,-323.64886474609375,279,360.725927734375,0.32819244445932194
2022-02-16,1121.444580078125,1122.8291015625,1105.7305908203125,1113.5760498046875,746.042,738.3942,747.9891,746.12555,-367.45050048828125,367.45050048828125,32.99734226079388,-375.402587890625,-384.43487548828125,-357.74151611328125,280,359.16294860839844,0.32997342260793877
2022-02-17,1116.875732421875,1132.9359130859375,1112.214599609375,1127.6748046875,739.34894,736.822,748.82263,743.5222,-384.152587890625,384.152587890625,34.065901472107555,-377.52679443359375,-396.1138916015625,-363.3919677734375,281,358.3100524902344,0.3406590147210755
2022-02-18,1128.0902099609375,1133.628173828125,1116.8988037109375,1118.8602294921875,738.1693,748.9463,758.50635,760.1592,-358.7010498046875,358.7010498046875,32.05950487376691,-389.9208984375,-384.681884765625,-358.3924560546875,282,356.56923522949216,0.3205950487376691
2022-02-21,1113.1375732421875,1124.9058837890625,1100.4925537109375,1107.553466796875,745.95294,733.4792,750.55676,741.61035,-365.943115234375,365.943115234375,33.04067263612194,-367.18463134765625,-391.42669677734375,-349.935791015625,283,355.2775054931641,0.3304067263612194
2022-02-22,1085.8629150390625,1105.70751953125,1083.2093505859375,1102.5230712890625,736.5305,749.9408,750.3408,759.96075,-342.56231689453125,342.56231689453125,31.070761765920206,-349.3323974609375,-355.7667236328125,-332.8685302734375,284,354.8063140869141,0.3107076176592021
2022-02-23,1108.1072998046875,1110.6224365234375,1092.8316650390625,1095.6236572265625,751.4086,755.5099,764.86646,764.47754,-331.1461181640625,331.1461181640625,30.224440297530492,-356.69866943359375,-355.112548828125,-327.9652099609375,285,353.7771484375,0.3022444029753049
2022-02-24,1063.757080078125,1079.863525390625,1035.3287353515625,1041.0281982421875,764.93005,763.2931,770.5016,769.9356,-271.09259033203125,271.09259033203125,26.040849881855323,-298.8270263671875,-316.5704345703125,-264.8271484375,286,350.2918273925781,0.2604084988185532
2022-02-25,1052.2657470703125,1065.1185302734375,1050.489013671875,1054.0426025390625,760.9951,755.49945,767.2456,759.4649,-294.57769775390625,294.57769775390625,27.947418543074427,-291.2706298828125,-309.61907958984375,-283.243408203125,287,348.5111541748047,0.27947418543074426
2022-02-28,1035.1441650390625,1092.5316162109375,1035.1441650390625,1088.931884765625,753.7318,753.6761,760.5125,758.9785,-329.953369140625,329.953369140625,30.300643571626352,-281.412353515625,-338.85552978515625,-274.63165283203125,288,345.9162841796875,0.3030064357162635
2022-03-02,1077.3482666015625,1108.0611572265625,1074.9254150390625,1106.930419921875,752.11475,757.8697,766.9173,767.9713,-338.9591064453125,338.9591064453125,30.621536850458547,-325.2335205078125,-350.19146728515625,-308.00811767578125,289,344.48524780273436,0.3062153685045855
2022-03-03,1107.599609375,1114.452880859375,1093.7777099609375,1097.5850830078125,772.7922,786.2563,745.2702,739.5153,-358.06976318359375,358.06976318359375,32.623417421303,-334.80743408203125,-328.19659423828125,-348.50750732421875,290,343.09681091308596,0.32623417421303
2022-03-04,1085.9090576171875,1091.1240234375,1070.8411865234375,1073.240966796875,737.0924,735.0581,742.3955,738.04645,-335.19451904296875,335.19451904296875,31.231990709725554,-348.816650390625,-356.06591796875,-328.4456787109375,291,341.7655364990234,0.31231990709725554
2022-03-07,1051.61962890625,1067.0338134765625,1025.45263671875,1033.552001953125,726.0382,720.84973,731.7146,725.87787,-307.67413330078125,307.67413330078125,29.768616646222245,-325.5814208984375,-346.18408203125,-293.738037109375,292,339.78435974121095,0.29768616646222246
2022-03-08,1020.6068725585938,1036.5286865234375,1006.0696411132812,1031.682861328125,725.1091,718.4663,736.73364,731.61084,-300.072021484375,300.072021484375,29.085684441639437,-295.497802734375,-318.0623779296875,-269.33599853515625,293,338.9024291992188,0.29085684441639437
2022-03-09,1031.9136962890625,1092.3701171875,1031.059814453125,1086.416748046875,725.4817,715.9373,728.8856,721.19696,-365.21978759765625,365.21978759765625,33.616914342883305,-306.4320068359375,-376.43280029296875,-302.1741943359375,294,340.464794921875,0.33616914342883303
2022-03-10,1107.599609375,1109.9071044921875,1089.1396484375,1104.02294921875,717.1767,717.39703,730.80145,726.81,-377.21295166015625,377.21295166015625,34.167129580692766,-390.42291259765625,-392.51007080078125,-358.33819580078125,295,341.60369873046875,0.3416712958069277
2022-03-11,1096.546630859375,1112.6761474609375,1096.546630859375,1107.207275390625,724.8251,715.43756,734.8601,727.3528,-379.8544921875,379.8544921875,34.30744185215786,-371.7215576171875,-397.23858642578125,-361.6865234375,296,342.73859252929685,0.3430744185215786
2022-03-14,1101.553955078125,1118.8602294921875,1095.6005859375,1116.298828125,722.3391,712.821,726.2537,718.54913,-397.74969482421875,397.74969482421875,35.63111281701353,-379.21484375,-406.03924560546875,-369.34686279296875,297,345.2752655029297,0.3563111281701353
2022-03-15,1120.49853515625,1120.49853515625,1080.3018798828125,1090.7318115234375,717.2272,709.9621,728.966,722.8686,-367.86322021484375,367.86322021484375,33.72627591204523,-403.2713623046875,-410.53643798828125,-351.33587646484375,298,346.9836791992187,0.33726275912045234
2022-03-16,1099.2926025390625,1111.2454833984375,1097.03125,1109.1456298828125,719.20337,732.90625,741.2471,745.712,-363.43365478515625,363.43365478515625,32.766991546777774,-380.0892333984375,-378.3392333984375,-355.7841796875,299,346.84413452148436,0.32766991546777774
2022-03-17,1122.7137451171875,1152.5496826171875,1114.5682373046875,1145.30419921875,731.98914,726.7485,739.7561,732.1398,-413.1644287109375,413.1644287109375,36.07464540798599,-390.724609375,-425.80120849609375,-374.8121337890625,300,349.1298309326172,0.3607464540798599
2022-03-21,1127.9056396484375,1146.3656005859375,1125.59814453125,1138.7047119140625,727.9347,723.10144,735.94183,726.6355,-412.0692138671875,412.0692138671875,36.18753918867477,-399.970947265625,-423.26416015625,-389.65631103515625,301,350.5256622314453,0.36187539188674767
2022-03-22,1135.335693359375,1169.8790283203125,1132.3360595703125,1168.1253662109375,728.0626,721.5177,731.4427,724.5056,-443.6197509765625,443.6197509765625,37.97706682935388,-407.2730712890625,-448.361328125,-400.89337158203125,302,354.77159729003904,0.37977066829353884
2022-03-23,1164.3641357421875,1183.6778564453125,1164.3641357421875,1171.84033203125,721.0263,717.9815,727.87964,724.58435,-447.2559814453125,447.2559814453125,38.16697285628033,-443.33782958984375,-465.69635009765625,-436.4844970703125,303,358.8372406005859,0.3816697285628033
2022-03-24,1158.3646240234375,1192.5848388671875,1158.3646240234375,1190.0465087890625,720.91736,718.2731,731.1863,723.57733,-466.46917724609375,466.46917724609375,39.19755856607249,-437.447265625,-474.311767578125,-427.1783447265625,304,365.03258361816404,0.3919755856607249
2022-03-25,1191.8233642578125,1207.2835693359375,1189.2850341796875,1197.984375,712.7174,706.29236,717.2003,709.4739,-488.510498046875,488.510498046875,40.777701966845356,-479.10595703125,-500.9912109375,-472.084716796875,305,372.9008026123047,0.40777701966845353
2022-03-28,1204.5145263671875,1213.629150390625,1193.6693115234375,1210.029541015625,701.7119,694.9821,709.17474,701.9707,-508.058837890625,508.058837890625,41.98730862919193,-502.8026123046875,-518.6470336914062,-484.49456787109375,306,384.7491149902344,0.4198730862919193
2022-03-29,1217.4365234375,1217.4365234375,1203.314697265625,1210.306396484375,708.0929,704.69165,716.97943,712.0531,-498.2532958984375,498.2532958984375,41.16753388610798,-509.3436279296875,-512.744873046875,-486.33526611328125,307,394.9328948974609,0.4116753388610798
2022-03-30,1218.3134765625,1240.5115966796875,1207.791259765625,1233.5660400390625,710.3128,706.85596,718.552,715.1715,-518.39453125,518.39453125,42.02405987389085,-508.00067138671875,-533.6556396484375,-489.2392578125,308,404.3549530029297,0.4202405987389085
2022-03-31,1229.8740234375,1232.066162109375,1213.0985107421875,1215.9366455078125,716.99854,711.28845,723.6975,717.27374,-498.66290283203125,498.66290283203125,41.010599086252085,-512.87548828125,-520.7777099609375,-489.4010009765625,309,412.34014282226565,0.41010599086252086
2022-04-01,1216.5135498046875,1229.96630859375,1210.0526123046875,1225.67431640625,708.8108,702.59125,714.71564,707.3482,-518.3261108398438,518.3261108398438,42.28905704409363,-507.7027587890625,-527.3750610351562,-495.33697509765625,310,420.35296020507815,0.4228905704409363
2022-04-04,1225.48974609375,1234.5120849609375,1219.12109375,1229.297119140625,699.96515,692.6106,707.7333,700.6012,-528.6959228515625,528.6959228515625,43.00798518271664,-525.5245971679688,-541.9014892578125,-511.3878173828125,311,430.0280303955078,0.4300798518271664
2022-04-05,1223.482177734375,1232.158447265625,1209.45263671875,1211.921630859375,703.8762,712.233,718.9653,723.42566,-488.4959716796875,488.4959716796875,40.30755448545749,-519.60595703125,-519.9254760742188,-490.48736572265625,312,439.0691223144531,0.40307554485457486
2022-04-06,1193.9462890625,1215.8212890625,1193.9462890625,1208.691162109375,717.76263,735.91003,733.9732,746.73456,-461.95660400390625,461.95660400390625,38.21957324464192,-476.18365478515625,-479.9112548828125,-459.97308349609375,313,447.16335144042966,0.38219573244641925
2022-04-07,1197.63818359375,1202.6685791015625,1184.6700439453125,1187.369873046875,737.20404,749.4894,749.4168,757.5804,-429.78948974609375,429.78948974609375,36.19676559951985,-460.43414306640625,-453.17919921875,-435.25323486328125,314,450.39183654785154,0.3619676559951985
2022-04-08,1181.4395751953125,1211.4371337890625,1181.4395751953125,1207.1220703125,764.30963,764.31116,778.901,775.97876,-431.143310546875,431.143310546875,35.71662892678787,-417.12994384765625,-447.1259765625,-402.53857421875,315,453.0883544921875,0.3571662892678787
2022-04-11,1199.8995361328125,1217.6904296875,1192.0540771484375,1204.60693359375,775.1606,755.9935,767.59283,749.537,-455.0699462890625,455.0699462890625,37.77746363549767,-424.73895263671875,-461.6968994140625,-424.46124267578125,316,456.8491271972656,0.3777746363549767
2022-04-12,1193.9000244140625,1201.0994873046875,1179.316650390625,1181.9241943359375,750.24835,797.1863,749.55994,752.99695,-428.92724609375,428.92724609375,36.29058852921969,-443.65167236328125,-403.9132080078125,-429.7567138671875,317,458.4080047607422,0.3629058852921969
2022-04-13,1188.13134765625,1196.4844970703125,1174.747802734375,1177.5860595703125,762.1673,760.5891,768.46436,755.4653,-422.12078857421875,422.12078857421875,35.84627935628295,-425.96405029296875,-435.8953857421875,-406.283447265625,318,461.1208831787109,0.3584627935628295
2022-04-18,1168.9791259765625,1181.3472900390625,1163.810302734375,1173.986328125,743.77594,761.7573,767.60803,773.15155,-400.83477783203125,400.83477783203125,34.14305330729137,-425.20318603515625,-419.5899658203125,-396.2022705078125,319,462.9909393310547,0.34143053307291366
